city,convention,n_sites,n_sites_before_intersection,n_pairs,mean_pair_m,median_pair_m,p90_pair_m,mean_pair_over_range,mean_pair_m_tilt_0-1.5,n_pairs_tilt_0-1.5,median_pair_m_grade_0-1.5,n_pairs_grade_0-1.5,median_pair_m_relroad_0-1.5,n_pairs_relroad_0-1.5,mean_pair_m_tilt_1.5-3,n_pairs_tilt_1.5-3,median_pair_m_grade_1.5-3,n_pairs_grade_1.5-3,median_pair_m_relroad_1.5-3,n_pairs_relroad_1.5-3,mean_pair_m_tilt_3-5,n_pairs_tilt_3-5,median_pair_m_grade_3-5,n_pairs_grade_3-5,median_pair_m_relroad_3-5,n_pairs_relroad_3-5,mean_pair_m_tilt_5-10,n_pairs_tilt_5-10,median_pair_m_grade_5-10,n_pairs_grade_5-10,median_pair_m_relroad_5-10,n_pairs_relroad_5-10,mean_pair_m_tilt_10+,n_pairs_tilt_10+,median_pair_m_grade_10+,n_pairs_grade_10+,median_pair_m_relroad_10+,n_pairs_relroad_10+
annapolis,roll-only,3101,3135,119907,3.5760245432319553,2.870710152080198,7.386709466273108,0.26384260177336627,2.9098367623985637,4383,2.905813008300753,83284,2.4650935205633173,1988,3.4344898620439244,40285,2.7921645216559443,28703,2.866045995359195,74831,3.685065117872266,63740,2.834167457151587,5269,2.9171649452323027,39903,3.723638780530349,11484,2.9991637595386837,437,2.694142277336668,1007,1.9878609661940922,15,2.6694677966670657,99,3.1973604307414627,63
annapolis,road-relative,3101,3135,119907,3.661849134436736,2.7024048446825035,7.852031096055458,0.25168731467083927,3.1647137242539065,4383,2.7043239062817817,83284,2.605154393346705,1988,3.707695055944466,40285,2.6867039962494497,28703,2.762867290958861,74831,3.710133181805578,63740,2.6512259846685264,5269,2.587947617032325,39903,3.425017182336227,11484,2.87747610660452,437,2.4543032571697605,1007,1.941483369415475,15,5.081576413197803,99,6.832305975745409,63
laurens,off,141,143,1516,3.9986891625786303,3.6988581879438165,7.174261528244687,0.3663348527608703,3.9892525325722814,31,3.6941192110083247,1185,3.477671450177366,763,3.3615856939484523,376,3.649248050239902,319,3.834629072644655,549,4.091058831061384,850,7.220081687232857,7,4.424675348364191,170,4.621581909778644,259,,0,3.883580732081089,29,,0,6.91893649264027,5,6.91893649264027,5
laurens,documented,141,143,1516,3.5721964531444454,2.645968894251512,7.520600300699947,0.2948455521505231,3.985690609665733,31,2.5895607605732307,1185,2.626445777360448,763,3.1719797025668326,376,2.807069220084923,319,2.807069220084923,549,3.5574232138553605,850,17.698672477913817,7,2.442846164998643,170,4.152198124035353,259,,0,1.2216474249008795,29,,0,7.502903739966392,5,7.502903739966392,5
laurens,pitch-flipped,141,143,1516,5.462638234710821,4.229705399593374,9.950827598009447,0.40088429156389443,4.076111231536454,31,4.165378095385934,1185,3.371342334987034,763,3.73696736987242,376,4.311804202874104,319,4.630647462993177,549,5.2863837641537454,850,13.929668640415631,7,6.525923606117371,170,8.71225554069985,259,,0,5.859816418310585,29,,0,7.364328912815343,5,7.364328912815343,5
laurens,roll-flipped,141,143,1516,5.180343058877445,4.698296992433142,9.244674428703082,0.48549094544612176,4.052847645886023,31,4.633083508053281,1185,4.626005022511657,763,4.11515851742082,376,5.053096765541934,319,4.869630015656759,549,5.501018760017998,850,6.269807992960856,7,4.489793590044284,170,5.809251936950627,259,,0,2.595049606410542,29,,0,7.285793274977604,5,7.285793274977604,5
laurens,both-flipped,141,143,1516,6.0143900287393315,5.078018981367198,10.585269910736379,0.5310833961744126,4.128014755662182,31,5.088637999724686,1185,4.665139637556359,763,4.635967703694112,376,4.968360151636103,319,5.324597370608902,549,6.236194060535805,850,4.317161893174276,7,5.954542667161109,170,7.5133514212311905,259,,0,5.409551370893706,29,,0,7.994527720144513,5,7.994527720144513,5
laurens,pitch-only,141,143,1516,4.069472048061574,3.598725058947254,7.539615276249609,0.3652790063413263,3.995736026199865,31,3.54109543532583,1185,3.5806036618311365,763,3.4414402449563863,376,3.757347760921797,319,3.6842812956061453,549,4.192036561833064,850,9.31409986556912,7,3.2997384744608764,170,4.587796132770054,259,,0,1.7648377546440082,29,,0,6.81283223775872,5,6.81283223775872,5
laurens,roll-only,141,143,1516,3.6857994814826256,3.0723765209342844,7.278871835313348,0.3095911637661853,3.9917542027989885,31,3.0752290655005536,1185,2.673997102066604,763,3.0765451149557026,376,2.917980230479857,319,3.284287971606135,549,3.6773824900145216,850,15.724160235194864,7,4.650575220360506,170,4.561280130908124,259,,0,4.241314298587438,29,,0,7.392577224226425,5,7.392577224226425,5
laurens,road-relative,141,143,1516,3.4197086921985345,2.6476349269379873,7.17532582985435,0.28688000602161834,3.9940520937569364,31,2.6146422855002753,1185,2.573352834668358,763,2.9713424666974384,376,2.7348237418435195,319,2.88532387563409,549,3.43576964161164,850,13.223859880653846,7,2.528599216622266,170,3.949165249491823,259,,0,1.3865285727013634,29,,0,9.799957564364759,5,9.799957564364759,5
