city,signal,dist_bin_m,vintage,n_pairs,r,rms_diff_over_sqrt2,abs_diff_p50,slope_abs_p50
gainesville,rig_attitude,5-10,all,10158,0.618392514334099,0.830615644165596,0.3084073708548507,0.8338259150534203
gainesville,rig_attitude,5-10,same,9118,0.7127724528502851,0.7110052937991549,0.2700550476746437,0.8288437757184842
gainesville,rig_attitude,5-10,different,1040,-0.031031054591516692,1.5187362211427506,1.1858598045443194,0.8996282048250834
gainesville,rig_attitude,10-15,all,23759,0.620555435148129,0.8179332019573428,0.3082597511011312,0.8703665398916962
gainesville,rig_attitude,10-15,same,21827,0.6883935991306195,0.7384789243047384,0.2747724653146649,0.8695880828567117
gainesville,rig_attitude,10-15,different,1932,-0.08468675245511523,1.4374000763621737,1.3026395159329804,0.880147456382666
gainesville,rig_attitude,15-20,all,13356,0.2791787809402257,1.1620634331556654,0.743255820242916,0.8465716625389843
gainesville,rig_attitude,15-20,same,10194,0.3801891386044124,1.0577490998564252,0.5827323332655079,0.8273022903453086
gainesville,rig_attitude,15-20,different,3162,0.0034717433194195136,1.4480725729415302,1.2783739247252162,0.9157749907357408
gainesville,rig_attitude,20-30,all,42817,0.38280661275976413,1.0494838172313434,0.608070401516725,0.8610983381342618
gainesville,rig_attitude,20-30,same,34462,0.48023572602937065,0.9563569311684591,0.4992129727323962,0.8645955189459393
gainesville,rig_attitude,20-30,different,8355,0.010697750898665247,1.3681753204702787,1.2098288193210385,0.8491973086084759
gainesville,rig_attitude,30-50,all,96450,0.27467989709029633,1.1233502845831274,0.7901345000343166,0.8628438839548458
gainesville,rig_attitude,30-50,same,72659,0.3703148845603562,1.042452690037254,0.6682754597631801,0.8664621720393569
gainesville,rig_attitude,30-50,different,23791,-0.007383788215766807,1.3405265125537422,1.1812545770967369,0.8473499262887495
gainesville,rig_attitude,50-80,all,121697,0.2554450613040832,1.1242511945117046,0.849509189840499,0.8626346645636892
gainesville,rig_attitude,50-80,same,89635,0.33510164022176897,1.0637251753384356,0.75080826924716,0.870980646952229
gainesville,rig_attitude,50-80,different,32062,0.0306616540735899,1.27834692922422,1.141159602668628,0.8348926965536666
sao_paulo,depth,0-5,all,128,0.38375443879517906,2.198023891105661,1.3056177422689115,1.0140604058848448
sao_paulo,depth,0-5,same,71,0.34591624947239685,2.585563543682532,1.402356312863403,1.4559444094052576
sao_paulo,depth,0-5,different,57,0.48342932668269917,1.5881286448824992,1.05379868436122,0.8495198720810626
sao_paulo,depth,5-10,all,5304,0.21496379919372344,2.39132642378625,1.2912350737223772,1.1707253146785483
sao_paulo,depth,5-10,same,3865,0.2742489870051224,2.4068256452161614,1.2102657826715388,1.2212979876453367
sao_paulo,depth,5-10,different,1439,-0.02330497640469858,2.3491910507288205,1.4618978508829743,1.065773618901093
sao_paulo,depth,10-15,all,15141,0.1781059232481775,2.326713564994882,1.2860622261616066,1.0290774528286242
sao_paulo,depth,10-15,same,12993,0.21081381934280954,2.273065190689748,1.2048912724792913,1.0068359311524535
sao_paulo,depth,10-15,different,2148,-0.009088040096669811,2.627980734173439,1.8520400567921427,1.146200950610822
sao_paulo,depth,15-20,all,7649,0.09215519862851175,2.6720417611732605,1.5800467397007112,1.176532284358828
sao_paulo,depth,15-20,same,4274,0.16998809832218859,2.7162001549684294,1.4613894691722917,1.2642930755501396
sao_paulo,depth,15-20,different,3375,-0.04118710925669135,2.615051038840195,1.7172792654990992,1.066546876025325
sao_paulo,depth,20-30,all,25401,0.12137499153425413,2.5838755817824444,1.4906986152004964,1.107634911256749
sao_paulo,depth,20-30,same,17318,0.18518792710730753,2.5347122530557837,1.3593353012353508,1.1240880216761506
sao_paulo,depth,20-30,different,8083,-0.032790977306338634,2.6861816201733943,1.8109422805279118,1.0836479922159123
sao_paulo,depth,30-50,all,55883,0.1000336787010888,2.6721323138196627,1.5850053670656892,1.1571127598846653
sao_paulo,depth,30-50,same,34108,0.15564228818525658,2.654603161504144,1.4324342764313496,1.1837705960807687
sao_paulo,depth,30-50,different,21775,0.0005876991841286842,2.699360900795119,1.8345575100388085,1.1240481563213467
sao_paulo,depth,50-80,all,67866,0.09390979129805273,2.664405490379644,1.589868837875193,1.1512711091769154
sao_paulo,depth,50-80,same,40042,0.1494074318499618,2.612647602121722,1.4105534174407983,1.1811842644860375
sao_paulo,depth,50-80,different,27824,0.009677942632539028,2.7371739929116403,1.8432379351372317,1.1171833196148384
sao_paulo,depth_well_determined,0-5,all,34,0.38770702373087684,2.675498094485765,0.9039299488234142,0.8313047864426633
sao_paulo,depth_well_determined,0-5,same,25,0.3954853990905015,3.0885573865214377,0.9055761937076159,1.34597434205228
sao_paulo,depth_well_determined,0-5,different,9,,0.7380299283598336,0.9039299488234142,0.47496736756843755
sao_paulo,depth_well_determined,5-10,all,1467,0.39819137517985664,2.1444711320046697,0.89642196776417,1.0076608056642797
sao_paulo,depth_well_determined,5-10,same,1049,0.4759170116475522,2.1806344387662255,0.7489048610907578,1.0755500111494616
sao_paulo,depth_well_determined,5-10,different,418,-0.0535337149000597,2.05091062448277,1.2167098388565514,0.8349693352834545
sao_paulo,depth_well_determined,10-15,all,3994,0.35559372209161866,2.167662802374133,0.8401945923945544,0.8881948210167661
sao_paulo,depth_well_determined,10-15,same,3371,0.3968422113576304,2.1323630461973386,0.7491689200022372,0.8490435720059376
sao_paulo,depth_well_determined,10-15,different,623,0.07410029111854881,2.3494859152257104,1.5443566370774167,1.053686840001332
sao_paulo,depth_well_determined,15-20,all,2078,0.17806092033994425,2.670900760947354,1.2898126024310685,1.0519330308115666
sao_paulo,depth_well_determined,15-20,same,1104,0.266357820697103,2.870119336496537,1.097821985241551,1.245708766132734
sao_paulo,depth_well_determined,15-20,different,974,-0.014968248864546905,2.425387064849744,1.5323415507671831,0.9641845452294492
sao_paulo,depth_well_determined,20-30,all,6842,0.2117857666382436,2.5807624057758662,1.1793936653704051,1.005049932034343
sao_paulo,depth_well_determined,20-30,same,4478,0.2907708972913139,2.620049491707642,1.0091185160921592,1.0357262385691146
sao_paulo,depth_well_determined,20-30,different,2364,-0.02321553823034971,2.504654278317951,1.5050182158902916,0.9610451032165418
sao_paulo,depth_well_determined,30-50,all,14895,0.163213237555961,2.740376507151085,1.290674471013551,1.0594181936726386
sao_paulo,depth_well_determined,30-50,same,8663,0.24204299923225525,2.830087132146071,1.079342596697379,1.1461290555451038
sao_paulo,depth_well_determined,30-50,different,6232,-0.007518315558462346,2.61055498249983,1.5894040708208463,0.974986089937001
sao_paulo,depth_well_determined,50-80,all,17946,0.1436401787946124,2.732652335214885,1.2966539408130873,1.0540325290234194
