city,site_set,arm,n_sites,n_sites_before_intersection,n_pairs,median_pair_m,mean_pair_m,p90_pair_m,mean_pair_over_range,n_pairs_both_measured,median_pair_m_both_measured,n_pairs_welldet,median_pair_m_welldet,n_pairs_welldet_grade_2+,median_pair_m_welldet_grade_2+,median_pair_m_grade_0-1,mean_pair_m_grade_0-1,p90_pair_m_grade_0-1,n_pairs_grade_0-1,median_pair_m_tilt_0-1,n_pairs_tilt_0-1,median_pair_m_grade_1-2,mean_pair_m_grade_1-2,p90_pair_m_grade_1-2,n_pairs_grade_1-2,median_pair_m_tilt_1-2,n_pairs_tilt_1-2,median_pair_m_grade_2-4,mean_pair_m_grade_2-4,p90_pair_m_grade_2-4,n_pairs_grade_2-4,median_pair_m_tilt_2-4,n_pairs_tilt_2-4,median_pair_m_grade_4+,mean_pair_m_grade_4+,p90_pair_m_grade_4+,n_pairs_grade_4+,median_pair_m_tilt_4+,n_pairs_tilt_4+
gainesville,capped,off,2549,3372,10810,2.486538452460024,2.718563632822535,4.946507429832752,0.20434705120097754,6242,2.6338979238921993,3549,2.7917975818984346,227,2.757675211419132,2.502740786558733,2.7010696103458525,4.929017840404708,3484,2.590094383890538,964,2.8704892648984632,3.0004865464917345,5.196472514419419,2216,2.703078211548388,3071,2.5336144738609874,2.707606039871363,4.616234400007111,517,2.5893342380104443,1998,2.7554908732504595,2.9481898522250845,5.065667135862303,25,2.551394457829982,209
gainesville,capped,ground-normal,2549,3372,10810,2.6715515329646347,3.0310939317907026,5.630236644124793,0.2277338910925137,6242,2.8649233033080534,3549,2.9144364369670224,227,3.1508524685273125,2.7273104609467973,3.07527244554381,5.67757718717861,3484,2.6975993719049214,964,3.0074184370281505,3.3935081962429883,6.244855697392712,2216,2.785145061247272,3071,3.1356599200062925,3.5824973518794874,6.8373244218827605,517,3.0644726677736505,1998,3.705765034671071,3.7766288072779797,6.216384229220765,25,3.3916622305950663,209
gainesville,capped,shuffled-normal,2549,3372,10810,2.7264668300238277,3.1419444091008866,5.94549225569755,0.23441181561335378,6242,3.0149186773631516,3549,3.1076165325364755,227,2.7810251709899143,2.971094433909596,3.3753780194795318,6.464031514227315,3484,3.0815221466531697,964,3.1977894524575765,3.549888299931628,6.606864271557543,2216,3.056091269494548,3071,2.684342284905436,3.1334033407570265,5.641126120271742,517,2.8931281726278137,1998,2.889409292891261,3.2218494266249587,6.2563908813202715,25,3.3083053787239325,209
gainesville,uncapped_4arm,off,3366,3372,17583,2.632387951523399,2.8714007654719036,5.235802950900881,0.20521972757634147,10832,2.7901005238139476,5947,2.9002734721589083,381,2.8425451006833238,2.645153392012757,2.8571849413484487,5.202398389431721,5508,2.7398135855447854,1488,2.979474928230527,3.158608801925448,5.537395342562337,4351,2.8407884158644237,5340,2.723317554454039,2.949142824851109,5.3006427954923465,914,2.7409351876683985,3676,2.7554908732504595,3.134179919867872,5.803766528868144,59,2.718256832068104,328
gainesville,uncapped_4arm,ground-normal,3366,3372,17583,2.9798178775080446,3.6908359575649192,7.188977987520009,0.24842257086380432,10832,3.262643360485728,5947,3.229984475566169,381,3.532503639285066,2.985910866102082,3.4609969726281413,6.586728988826674,5508,2.8583895469582736,1488,3.5615555867905018,4.396429180410796,8.7042249869603,4351,3.130132226550996,5340,3.862687646309259,5.3786297541303645,11.2662893897262,914,3.7351893407985055,3676,4.896589005958658,14.922848521877842,54.08287496904691,59,3.9071400158194254,328
gainesville,uncapped_4arm,shuffled-normal,3366,3372,17583,3.055419805281253,3.984715866295094,7.79738513339791,0.2590766261320837,10832,3.4193996639724964,5947,3.5012364068680735,381,3.1562929412776963,3.3255931187335688,4.270867753578088,8.445927525506532,5508,3.4330770503745804,1488,3.581942843964417,4.739281684393025,8.82438973823978,4351,3.4795277396059525,5340,3.1670819204817002,4.293526041606769,8.508349573199759,914,3.307155136357332,3676,3.2372089346981237,3.980233624368801,6.563728786121579,59,3.640728091778662,328
gainesville,uncapped_4arm,rig-attitude-normal,3366,3372,17583,3.0146017038573736,3.75745860313056,7.421937950616119,0.25345848314672315,10832,3.348330653120298,5947,3.3464305292083223,381,3.3192416538097564,3.1948155914241636,3.8449146031713517,7.490085045190056,5508,3.1316288489517703,1488,3.5485510838579177,4.45138468676351,8.769911053384156,4351,3.3150139234261222,5340,3.4074498344190944,4.341999124599192,8.615909979211159,914,3.464991905958793,3676,5.053015987688704,5.60613912259843,10.727684377251327,59,3.570830184224836,328
gainesville,capped_4arm,off,2406,3372,9856,2.480018454543012,2.703615139015957,4.897148157508509,0.20531521852714785,5547,2.6325243570686494,3164,2.7839915317988138,216,2.796396405299407,2.5006053524384018,2.688312353797567,4.858709783107589,3059,2.5617183608952674,828,2.8681183044000917,2.9755178645861267,5.115584825781685,1987,2.7070936228781326,2750,2.5362369573579207,2.71147194120469,4.480075492600773,477,2.5893342380104443,1794,2.9403036656049597,3.035509305103365,5.065667135862303,24,2.718256832068104,175
gainesville,capped_4arm,ground-normal,2406,3372,9856,2.6500529503390298,2.9945887985319235,5.5285559707831755,0.2277376207681799,5547,2.855089698395436,3164,2.8887301450080396,216,3.1181934019949527,2.6975993719049214,3.03051976885895,5.568850294340907,3059,2.6771131258394014,828,2.980705601830238,3.3618771975311312,6.168661609697972,1987,2.7803241042083418,2750,3.1356599200062925,3.5618426907369365,6.729347411445837,477,3.0398638665083952,1794,3.705765034671071,3.505969346947014,5.687485571848795,24,3.49568837244372,175
gainesville,capped_4arm,shuffled-normal,2406,3372,9856,2.695871129733844,3.109352842784962,5.879144496761085,0.23426425905735124,5547,3.0109199217794913,3164,3.103411557189116,216,2.788736549426617,2.956423030563603,3.34459766139702,6.413926790202589,3059,3.0121285334130627,828,3.2074238027881714,3.530584547829848,6.525618868691179,1987,3.07062222453034,2750,2.6808363085871973,3.139776744932993,5.641126120271742,477,2.873030898075098,1794,2.9225453085696347,3.2828435604703365,6.2563908813202715,24,3.357936305689041,175
gainesville,capped_4arm,rig-attitude-normal,2406,3372,9856,2.6687988648649075,3.047302582961543,5.76944819590434,0.23169370932839817,5547,2.8831531633297067,3164,2.929502313659334,216,2.9223034357020503,2.8255251724286965,3.2163790750280232,6.127567329134446,3059,2.8204050247237284,828,2.9817935699551263,3.400725981625113,6.305263625196945,1987,2.8914952180792324,2750,2.8604559329227444,3.1744904676324057,5.837159379019414,477,2.871362072511439,1794,3.4026427848525738,4.393128197535052,9.350121949147596,24,3.041643952854125,175
sao_paulo,uncapped,off,3114,3197,31204,1.802976066404862,2.1232040961636773,4.160019543882933,0.16374671790484133,12133,1.903125263352425,3171,1.9626213415379419,754,2.157929014144418,1.7747522576486428,2.0915566602580027,4.121883023494904,3975,1.5498976087937684,793,1.940050858720091,2.239682793387455,4.304203266952246,3978,1.8192263250352045,3262,2.015663807259069,2.2866004253275984,4.3141227244467295,3259,1.972672983382016,5404,1.886409614376173,2.180555384721053,4.106004055901758,921,1.9752846347648658,2674
sao_paulo,uncapped,ground-normal,3114,3197,31204,2.2478939729015277,3.3619825009295523,6.357322532826429,0.2301434686225346,12133,2.7397266206817656,3171,2.4663794553509972,754,3.143700188876805,2.3404218211595924,2.9429320230461053,5.963912468100456,3975,1.7156727274455867,793,2.545101278651503,3.334714960158394,6.920431938427309,3978,2.135804602955487,3262,3.313737198057818,5.422579720774201,12.235201034049664,3259,2.7964713010742073,5404,5.547625838483565,10.350815049341444,25.614293645698993,921,4.620557000847296,2674
sao_paulo,uncapped,shuffled-normal,3114,3197,31204,2.4010762046853724,3.949813345610345,7.399549760811611,0.25517293581257094,12133,3.1303281317281617,3171,3.3369230518056785,754,3.410326861776157,3.1382297195949707,5.477452570737082,11.078939638252498,3975,3.026409414961667,793,3.0739931897639736,5.203366064518597,10.074786182193348,3978,3.161553508536773,3262,3.1885605756899955,5.256071694117723,10.106120270186464,3259,3.126475422258615,5404,3.170432741423209,5.640258375086157,10.37926853682388,921,3.1490012923965724,2674
