city,tier,frame,arm,radius_m,vintage,n,median_along_m,q25_along_m,q75_along_m,median_along_over_range,median_range_m
gainesville,0.3000,frozen@c,b,5.0000,2018,23,-0.4875,-0.8895,-0.0804,-0.0405,10.4741
gainesville,0.3000,frozen@c,b,5.0000,2019,7,1.9906,1.7944,2.7801,0.2249,7.7943
gainesville,0.3000,frozen@c,b,5.0000,2021,3,-0.0310,-0.7201,0.2093,-0.0038,8.1689
gainesville,0.3000,frozen@c,b,5.0000,2022,18,0.4546,-0.2953,1.2975,0.0452,10.1414
gainesville,0.3000,frozen@c,b,5.0000,2023,31,0.3085,-0.0895,1.1375,0.0334,12.8584
gainesville,0.3000,frozen@c,b,5.0000,2024,51,-0.0952,-0.4360,0.5903,-0.0065,11.9200
gainesville,0.3000,frozen@c,b,5.0000,2025,24,-0.2699,-1.0714,0.0087,-0.0197,12.5459
gainesville,0.3000,frozen@c,b,5.0000,2026,1359,-0.3295,-1.2001,0.3313,-0.0301,10.8715
gainesville,0.3000,frozen@c,b,5.0000,mixed,1104,-0.2032,-0.8355,0.3799,-0.0156,12.5989
gainesville,0.3000,frozen@c,c,5.0000,2007,1,2.1713,2.1713,2.1713,0.2810,7.7265
gainesville,0.3000,frozen@c,c,5.0000,2011,8,-2.4623,-2.9313,-1.0438,-0.1690,11.4224
gainesville,0.3000,frozen@c,c,5.0000,2014,4,0.2243,-0.0988,0.2243,0.0346,9.0338
gainesville,0.3000,frozen@c,c,5.0000,2015,9,-2.2888,-2.4043,-1.4263,-0.3590,6.7092
gainesville,0.3000,frozen@c,c,5.0000,2018,23,-2.4247,-3.0630,-2.0028,-0.2642,8.0570
gainesville,0.3000,frozen@c,c,5.0000,2019,7,1.7314,1.2271,2.5783,0.1939,7.4945
gainesville,0.3000,frozen@c,c,5.0000,2021,3,-0.1253,-0.5358,0.3560,-0.0143,8.7853
gainesville,0.3000,frozen@c,c,5.0000,2022,18,0.2654,-0.2670,1.2970,0.0473,10.4844
gainesville,0.3000,frozen@c,c,5.0000,2023,31,0.2400,-0.3795,1.1948,0.0191,12.3781
gainesville,0.3000,frozen@c,c,5.0000,2024,51,-0.1050,-0.6147,0.5607,-0.0059,11.4615
gainesville,0.3000,frozen@c,c,5.0000,2025,24,-0.3153,-0.8127,-0.1601,-0.0221,12.9347
gainesville,0.3000,frozen@c,c,5.0000,2026,1359,-0.2236,-0.9897,0.4093,-0.0193,11.4138
gainesville,0.3000,frozen@c,c,5.0000,mixed,1104,-0.2321,-0.8206,0.3465,-0.0178,12.6145
gainesville,0.3000,frozen@c,b1.00,5.0000,2007,1,1.1627,1.1627,1.1627,0.1731,6.7180
gainesville,0.3000,frozen@c,b1.00,5.0000,2011,8,-2.0634,-2.6885,-0.9463,-0.1362,11.8793
gainesville,0.3000,frozen@c,b1.00,5.0000,2014,4,-0.4382,-0.5796,-0.4382,-0.0538,8.1391
gainesville,0.3000,frozen@c,b1.00,5.0000,2015,9,-0.5166,-1.2143,-0.3443,-0.0703,7.8703
gainesville,0.3000,frozen@c,b1.00,5.0000,2018,23,-0.4875,-0.8895,-0.0804,-0.0405,10.4741
gainesville,0.3000,frozen@c,b1.00,5.0000,2019,7,1.9906,1.7944,2.7801,0.2249,7.7943
gainesville,0.3000,frozen@c,b1.00,5.0000,2021,3,-0.2021,-1.2788,-0.1605,-0.0267,7.5638
gainesville,0.3000,frozen@c,b1.00,5.0000,2022,18,-0.0852,-0.6629,1.0185,-0.0135,9.3902
gainesville,0.3000,frozen@c,b1.00,5.0000,2023,31,0.1291,-0.5315,0.9855,0.0097,12.6482
gainesville,0.3000,frozen@c,b1.00,5.0000,2024,51,-0.3444,-0.8659,0.3608,-0.0343,11.2673
gainesville,0.3000,frozen@c,b1.00,5.0000,2025,24,-0.6356,-1.5922,-0.3130,-0.0566,11.6166
gainesville,0.3000,frozen@c,b1.00,5.0000,2026,1359,-0.5973,-1.4940,0.1013,-0.0585,10.0736
gainesville,0.3000,frozen@c,b1.00,5.0000,mixed,1104,-0.3857,-1.0466,0.2109,-0.0316,11.8452
